ID,NAME,GY,PHT,EHT,AD
156,Bred_0313,8.7107,246.5028201,142.0829625,58.4496
157,Bred_0315,10.6479,249.1339191,142.5110565,61.4771
158,Bred_0316,10.2478,261.2958753,145.9932657,59.3873
159,Bred_0318,8.4375,247.7269476,144.2674261,59.2592
160,Bred_0319,8.342,244.907646,135.7671302,60.546
161,Bred_0326,9.1047,259.0764753,134.2128566,61.13
162,Bred_0327,9.833,223.4268402,131.0965355,59.6635
163,Bred_0329,8.8122,240.1389303,119.8190077,58.9275
164,Bred_0330,6.4666,240.4567717,109.9298453,61.858
165,Bred_0331,7.8157,242.6801324,141.0936152,57.8433
166,Bred_0335,10.7726,262.8940456,147.8406983,58.4921
167,Bred_0336,10.5823,248.6745432,140.9372793,59.9172
168,Bred_0339,6.2813,192.8764911,131.2367016,58.8468
169,Bred_0342,9.9435,242.859107,130.4839577,58.4297
170,Bred_0343,13.7777,268.985983,151.1658403,61.842
171,Bred_0344,11.6084,245.8566678,131.9034053,60.2753
172,Bred_0347,8.6125,249.1072886,146.7865286,62.4677
173,Bred_0349,7.5492,234.2630481,143.828467,57.9804
174,Bred_0354,8.925,233.106507,129.7355613,60.3129
175,Bred_0355,8.9784,249.698918,154.5560385,58.8535
176,Bred_0357,8.7761,244.5110733,142.6505654,57.4015
177,Bred_0359,8.377,254.3986105,146.5737576,58.8373
178,Bred_0360,7.9728,257.951972,145.3809136,60.4512
179,Bred_0362,7.7152,252.0691378,153.7968172,58.2075
180,Bred_0365,12.6367,250.5454232,155.6540589,62.1931
181,Bred_0367,9.7807,250.302459,141.2503064,59.9432
182,Bred_0368,10.878,268.8466733,153.7410966,59.9218
183,Bred_0369,6.9368,243.4514652,138.512462,58.5611
184,Bred_0370,9.6546,243.092386,134.3272615,58.2794
185,Bred_0371,8.746,259.2076916,150.8434367,58.4912
186,Bred_0372,7.7293,237.0125343,135.0704306,57.8249
187,Bred_0373,12.0511,246.7702528,135.106593,58.39
188,Bred_0374,9.0509,247.9637618,146.8012635,59.0685
189,Bred_0378,9.6447,272.1181476,143.6878919,61.0693
190,Bred_0379,11.8559,256.0538751,141.180015,61.5974
191,Bred_0381,9.0818,250.9841277,141.6818398,59.0602
192,Bred_0382,10.5111,244.7079502,139.1790643,59.689
193,Bred_0387,11.9093,258.5961386,152.7816629,58.9821
194,Bred_0389,9.4134,252.663421,135.8555535,60.0403
195,Bred_0390,9.3207,238.3866674,135.4078795,58.9362
196,Bred_0392,7.3401,241.9183646,136.4666121,57.4057
197,Bred_0393,7.8282,243.1832117,127.0793554,58.7429
198,Bred_0394,8.6667,246.1488313,136.4528494,59.6558
199,Bred_0396,7.4026,256.3486838,140.3205652,57.5096
200,Bred_0398,10.8674,267.3577319,154.0542261,61.4281
201,Bred_0399,8.2245,241.8294364,137.8079495,58.7153
202,Bred_0400,10.6433,272.3568493,144.4124147,62.0208
203,Bred_0405,10.3684,242.9631045,131.9258531,60.8948
204,Bred_0406,8.0788,272.2596724,150.5671697,62.3619
205,Bred_0408,8.4555,266.3255996,146.4614384,59.2358
206,Bred_0409,8.6009,254.8634572,148.7851899,58.5478
207,Bred_0412,8.004,244.9824324,132.4855776,60.3021
208,Bred_0417,7.2155,249.6122902,143.2981156,57.9148
209,Bred_0418,8.0733,252.1128595,148.0194987,58.9128
210,Bred_0419,9.7978,238.0189715,141.6839456,59.3667
211,Bred_0420,6.5282,258.1496192,149.9810983,59.586
212,Bred_0421,6.5963,229.2464051,134.4214965,58.5899
213,Bred_0422,7.3342,242.9004538,138.4118956,62.0047
214,Bred_0425,8.8802,235.3620536,127.5843051,60.6124
215,Bred_0426,7.5865,249.0159016,145.4129979,60.4473
216,Bred_0429,9.2827,243.1654009,146.1738947,58.0224
217,Bred_0433,6.2573,236.6413984,142.032291,58.0328
218,Bred_0434,9.5934,240.2267632,136.9356876,58.6464
